Greedy Algorithm 
Start ---> Finish

41 -----> 41
41 -----> 4482
4482 -----> 1674
1674 -----> 3202
3202 -----> 534
534 -----> 1753
1753 -----> 2168
2168 -----> 1424
1424 -----> 3694
3694 -----> 1196
1196 -----> 1054
1054 -----> 234
234 -----> 26
26 -----> 2887
2887 -----> 667
667 -----> 494
494 -----> 3008
3008 -----> 2662
2662 -----> 184
184 -----> 799
799 -----> 4553
4553 -----> 685
685 -----> 3922
3922 -----> 155
155 -----> 297
297 -----> 3126
3126 -----> 3532
3532 -----> 175
175 -----> 1191
1191 -----> 1374
1374 -----> 826
826 -----> 3224
3224 -----> 891
891 -----> 2300
2300 -----> 1890
1890 -----> 1418
1418 -----> 2557
2557 -----> 3199
3199 -----> 3190
3190 -----> 655
655 -----> 980
980 -----> 713
713 -----> 3634
3634 -----> 2642
2642 -----> 3857
3857 -----> 48
48 -----> 1311
1311 -----> 3131
3131 -----> 573
573 -----> 2284
2284 -----> 2514
2514 -----> 4635
4635 -----> 393
393 -----> 497
497 -----> 1629
1629 -----> 3692
3692 -----> 4169
4169 -----> 541
541 -----> 4561
4561 -----> 796
796 -----> 3155
3155 -----> 3078
3078 -----> 3841
3841 -----> 1875
1875 -----> 295
295 -----> 2559
2559 -----> 4506
4506 -----> 4408
4408 -----> 907
907 -----> 4335
4335 -----> 4548
4548 -----> 867
867 -----> 2155
2155 -----> 2179
2179 -----> 1458
1458 -----> 1620
1620 -----> 1274
1274 -----> 3648
3648 -----> 1503
1503 -----> 3611
3611 -----> 1328
1328 -----> 3522
3522 -----> 1208
1208 -----> 1675
1675 -----> 450
450 -----> 2740
2740 -----> 399
399 -----> 2858
2858 -----> 212
212 -----> 3508
3508 -----> 3295
3295 -----> 447
447 -----> 1818
1818 -----> 2236
2236 -----> 998
998 -----> 3341
3341 -----> 2474
2474 -----> 2133
2133 -----> 107
107 -----> 2917
2917 -----> 279
279 -----> 3832
3832 -----> 81
81 -----> 2359
2359 -----> 4571
4571 -----> 843
843 -----> 319
319 -----> 2370
2370 -----> 4444
4444 -----> 4269
4269 -----> 486
486 -----> 1481
1481 -----> 4271
4271 -----> 906
906 -----> 1777
1777 -----> 1325
1325 -----> 4145
4145 -----> 1996
1996 -----> 576
576 -----> 2962
2962 -----> 1316
1316 -----> 4317
4317 -----> 83
83 -----> 498
498 -----> 4312
4312 -----> 2144
2144 -----> 1011
1011 -----> 2033
2033 -----> 4143
4143 -----> 3074
3074 -----> 159
159 -----> 1195
1195 -----> 3451
3451 -----> 3716
3716 -----> 396
396 -----> 3538
3538 -----> 4064
4064 -----> 3132
3132 -----> 4568
4568 -----> 2369
2369 -----> 1957
1957 -----> 3350
3350 -----> 657
657 -----> 1399
1399 -----> 1447
1447 -----> 4530
4530 -----> 619
619 -----> 761
761 -----> 1715
1715 -----> 559
559 -----> 1986
1986 -----> 2478
2478 -----> 461
461 -----> 4146
4146 -----> 2990
2990 -----> 2206
2206 -----> 946
946 -----> 1100
1100 -----> 780
780 -----> 1730
1730 -----> 4040
4040 -----> 1938
1938 -----> 650
650 -----> 2641
2641 -----> 3687
3687 -----> 2072
2072 -----> 645
645 -----> 4192
4192 -----> 3743
3743 -----> 1965
1965 -----> 1369
1369 -----> 4032
4032 -----> 411
411 -----> 2132
2132 -----> 113
113 -----> 1658
1658 -----> 448
448 -----> 815
815 -----> 1814
1814 -----> 2165
2165 -----> 3954
3954 -----> 265
265 -----> 56
56 -----> 2098
2098 -----> 4190
4190 -----> 1131
1131 -----> 2541
2541 -----> 3949
3949 -----> 241
241 -----> 499
499 -----> 3890
3890 -----> 1559
1559 -----> 2411
2411 -----> 141
141 -----> 4593
4593 -----> 2545
2545 -----> 968
968 -----> 2266
2266 -----> 522
522 -----> 627
627 -----> 983
983 -----> 3307
3307 -----> 1160
1160 -----> 4257
4257 -----> 2903
2903 -----> 847
847 -----> 3304
3304 -----> 385
385 -----> 562
562 -----> 3754
3754 -----> 1874
1874 -----> 2226
2226 -----> 1483
1483 -----> 1551
1551 -----> 1743
1743 -----> 1663
1663 -----> 3363
3363 -----> 2847
2847 -----> 3257
3257 -----> 1081
1081 -----> 4060
4060 -----> 1688
1688 -----> 2816
2816 -----> 672
672 -----> 3173
3173 -----> 3175
3175 -----> 157
157 -----> 2317
2317 -----> 2999
2999 -----> 2189
2189 -----> 1596
1596 -----> 2108
2108 -----> 1983
1983 -----> 3255
3255 -----> 1530
1530 -----> 634
634 -----> 2927
2927 -----> 1591
1591 -----> 902
902 -----> 3641
3641 -----> 1725
1725 -----> 2208
2208 -----> 545
545 -----> 3327
3327 -----> 3747
3747 -----> 1894
1894 -----> 2293
2293 -----> 872
872 -----> 1600
1600 -----> 2851
2851 -----> 3146
3146 -----> 2800
2800 -----> 2371
2371 -----> 2578
2578 -----> 2865
2865 -----> 656
656 -----> 4581
4581 -----> 516
516 -----> 1346
1346 -----> 2149
2149 -----> 3668
3668 -----> 2705
2705 -----> 1969
1969 -----> 1518
1518 -----> 4541
4541 -----> 1299
1299 -----> 1640
1640 -----> 1148
1148 -----> 1322
1322 -----> 1403
1403 -----> 3790
3790 -----> 2282
2282 -----> 1664
1664 -----> 2616
2616 -----> 743
743 -----> 2080
2080 -----> 2785
2785 -----> 2693
2693 -----> 3699
3699 -----> 610
610 -----> 351
351 -----> 1662
1662 -----> 276
276 -----> 1113
1113 -----> 2286
2286 -----> 3520
3520 -----> 683
683 -----> 1978
1978 -----> 2488
2488 -----> 1660
1660 -----> 926
926 -----> 895
895 -----> 2582
2582 -----> 2060
2060 -----> 1185
1185 -----> 380
380 -----> 4453
4453 -----> 2334
2334 -----> 4171
4171 -----> 4381
4381 -----> 2726
2726 -----> 866
866 -----> 2563
2563 -----> 2737
2737 -----> 4274
4274 -----> 1993
1993 -----> 3691
3691 -----> 3744
3744 -----> 3328
3328 -----> 878
878 -----> 4320
4320 -----> 714
714 -----> 4625
4625 -----> 4030
4030 -----> 3337
3337 -----> 4005
4005 -----> 3488
3488 -----> 4579
4579 -----> 3929
3929 -----> 4127
4127 -----> 915
915 -----> 73
73 -----> 2711
2711 -----> 4589
4589 -----> 208
208 -----> 1636
1636 -----> 3558
3558 -----> 3320
3320 -----> 2470
2470 -----> 3358
3358 -----> 3054
3054 -----> 3551
3551 -----> 4090
4090 -----> 4399
4399 -----> 875
875 -----> 3293
3293 -----> 1123
1123 -----> 3639
3639 -----> 1589
1589 -----> 3907
3907 -----> 4653
4653 -----> 2976
2976 -----> 1030
1030 -----> 3009
3009 -----> 1003
1003 -----> 2367
2367 -----> 1999
1999 -----> 3984
3984 -----> 4661
4661 -----> 2041
2041 -----> 2660
2660 -----> 2517
2517 -----> 2280
2280 -----> 2318
2318 -----> 524
524 -----> 4483
4483 -----> 1815
1815 -----> 3261
3261 -----> 3072
3072 -----> 2362
2362 -----> 1348
1348 -----> 3526
3526 -----> 2805
2805 -----> 2038
2038 -----> 3752
3752 -----> 183
183 -----> 558
558 -----> 731
731 -----> 78
78 -----> 3107
3107 -----> 430
430 -----> 4089
4089 -----> 495
495 -----> 3805
3805 -----> 346
346 -----> 4377
4377 -----> 204
204 -----> 2529
2529 -----> 2384
2384 -----> 1283
1283 -----> 1821
1821 -----> 1475
1475 -----> 929
929 -----> 3407
3407 -----> 1809
1809 -----> 3961
3961 -----> 908
908 -----> 149
149 -----> 848
848 -----> 198
198 -----> 4042
4042 -----> 267
267 -----> 3311
3311 -----> 3382
3382 -----> 3610
3610 -----> 2712
2712 -----> 3533
3533 -----> 2968
2968 -----> 3571
3571 -----> 4284
4284 -----> 803
803 -----> 2684
2684 -----> 1944
1944 -----> 2937
2937 -----> 171
171 -----> 1343
1343 -----> 3415
3415 -----> 4628
4628 -----> 4045
4045 -----> 3711
3711 -----> 612
612 -----> 4493
4493 -----> 860
860 -----> 2895
2895 -----> 1712
1712 -----> 2128
2128 -----> 2793
2793 -----> 278
278 -----> 361
361 -----> 1608
1608 -----> 1448
1448 -----> 2198
2198 -----> 605
605 -----> 2394
2394 -----> 1704
1704 -----> 352
352 -----> 18
18 -----> 156
156 -----> 316
316 -----> 1839
1839 -----> 410
410 -----> 4052
4052 -----> 2519
2519 -----> 4550
4550 -----> 1417
1417 -----> 1539
1539 -----> 1778
1778 -----> 4215
4215 -----> 262
262 -----> 1415
1415 -----> 3130
3130 -----> 481
481 -----> 2249
2249 -----> 507
507 -----> 3409
3409 -----> 4544
4544 -----> 153
153 -----> 1179
1179 -----> 3003
3003 -----> 632
632 -----> 3053
3053 -----> 2383
2383 -----> 1472
1472 -----> 736
736 -----> 1813
1813 -----> 1192
1192 -----> 620
620 -----> 1616
1616 -----> 539
539 -----> 1774
1774 -----> 3169
3169 -----> 308
