Nearest Neighbour Algorithm 
Start ---> Finish

0 -----> 1
1 -----> 5
5 -----> 6
6 -----> 13
13 -----> 11
11 -----> 15
15 -----> 17
17 -----> 18
18 -----> 22
22 -----> 19
19 -----> 20
20 -----> 23
23 -----> 16
16 -----> 14
14 -----> 9
9 -----> 4
4 -----> 2
2 -----> 3
3 -----> 8
8 -----> 10
10 -----> 7
7 -----> 36
36 -----> 43
43 -----> 46
46 -----> 59
59 -----> 63
63 -----> 50
50 -----> 57
57 -----> 72
72 -----> 83
83 -----> 82
82 -----> 101
101 -----> 98
98 -----> 106
106 -----> 97
97 -----> 84
84 -----> 74
74 -----> 66
66 -----> 55
55 -----> 37
37 -----> 30
30 -----> 27
27 -----> 25
25 -----> 26
26 -----> 28
28 -----> 24
24 -----> 21
21 -----> 12
12 -----> 29
29 -----> 56
56 -----> 42
42 -----> 35
35 -----> 33
33 -----> 40
40 -----> 34
34 -----> 39
39 -----> 32
32 -----> 48
48 -----> 61
61 -----> 45
45 -----> 44
44 -----> 53
53 -----> 38
38 -----> 41
41 -----> 54
54 -----> 67
67 -----> 94
94 -----> 102
102 -----> 99
99 -----> 92
92 -----> 89
89 -----> 86
86 -----> 78
78 -----> 81
81 -----> 70
70 -----> 52
52 -----> 47
47 -----> 58
58 -----> 64
64 -----> 60
60 -----> 49
49 -----> 73
73 -----> 80
80 -----> 85
85 -----> 88
88 -----> 75
75 -----> 69
69 -----> 68
68 -----> 79
79 -----> 91
91 -----> 51
51 -----> 155
155 -----> 159
159 -----> 168
168 -----> 169
169 -----> 164
164 -----> 184
184 -----> 206
206 -----> 235
235 -----> 263
263 -----> 301
301 -----> 316
316 -----> 324
324 -----> 354
354 -----> 388
388 -----> 364
364 -----> 365
365 -----> 338
338 -----> 344
344 -----> 328
328 -----> 314
314 -----> 302
302 -----> 291
291 -----> 277
277 -----> 275
275 -----> 243
243 -----> 216
216 -----> 189
189 -----> 186
186 -----> 172
172 -----> 187
187 -----> 195
195 -----> 167
167 -----> 142
142 -----> 143
143 -----> 123
123 -----> 133
133 -----> 125
125 -----> 122
122 -----> 126
126 -----> 132
132 -----> 135
135 -----> 141
141 -----> 144
144 -----> 150
150 -----> 149
149 -----> 160
160 -----> 165
165 -----> 170
170 -----> 174
174 -----> 185
185 -----> 198
198 -----> 211
211 -----> 224
224 -----> 236
236 -----> 269
269 -----> 274
274 -----> 268
268 -----> 286
286 -----> 290
290 -----> 234
234 -----> 215
215 -----> 192
192 -----> 182
182 -----> 181
181 -----> 183
183 -----> 223
223 -----> 214
214 -----> 233
233 -----> 239
239 -----> 250
250 -----> 285
285 -----> 327
327 -----> 348
348 -----> 349
349 -----> 393
393 -----> 402
402 -----> 363
363 -----> 387
387 -----> 412
412 -----> 419
419 -----> 444
444 -----> 463
463 -----> 481
481 -----> 487
487 -----> 558
558 -----> 614
614 -----> 704
704 -----> 751
751 -----> 766
766 -----> 826
826 -----> 730
730 -----> 857
857 -----> 903
903 -----> 933
933 -----> 992
992 -----> 1034
1034 -----> 1111
1111 -----> 1155
1155 -----> 1163
1163 -----> 1263
1263 -----> 1363
1363 -----> 1398
1398 -----> 1436
1436 -----> 1478
1478 -----> 1490
1490 -----> 1501
1501 -----> 1518
1518 -----> 1544
1544 -----> 1584
1584 -----> 1636
1636 -----> 1658
1658 -----> 1663
1663 -----> 1664
1664 -----> 1596
1596 -----> 1605
1605 -----> 1614
1614 -----> 1637
1637 -----> 1627
1627 -----> 1606
1606 -----> 1704
1704 -----> 1799
1799 -----> 1827
1827 -----> 1846
1846 -----> 1887
1887 -----> 1907
1907 -----> 1908
1908 -----> 1971
1971 -----> 1992
1992 -----> 1999
1999 -----> 1959
1959 -----> 1951
1951 -----> 1937
1937 -----> 1878
1878 -----> 1879
1879 -----> 1880
1880 -----> 2037
2037 -----> 2064
2064 -----> 2118
2118 -----> 2099
2099 -----> 2020
2020 -----> 2012
2012 -----> 2142
2142 -----> 2233
2233 -----> 2323
2323 -----> 2453
2453 -----> 2465
2465 -----> 2537
2537 -----> 2629
2629 -----> 2811
2811 -----> 2304
2304 -----> 2282
2282 -----> 2305
2305 -----> 2313
2313 -----> 2334
2334 -----> 2375
2375 -----> 2400
2400 -----> 2444
2444 -----> 2454
2454 -----> 2481
2481 -----> 2496
2496 -----> 2497
2497 -----> 2526
2526 -----> 2546
2546 -----> 2597
2597 -----> 2445
2445 -----> 2143
2143 -----> 2021
2021 -----> 1943
1943 -----> 1901
1901 -----> 1791
1791 -----> 1752
1752 -----> 1730
1730 -----> 1615
1615 -----> 1508
1508 -----> 1471
1471 -----> 1441
1441 -----> 1480
1480 -----> 1519
1519 -----> 1575
1575 -----> 1638
1638 -----> 1684
1684 -----> 1669
1669 -----> 1693
1693 -----> 1741
1741 -----> 1759
1759 -----> 1746
1746 -----> 1802
1802 -----> 1820
1820 -----> 1881
1881 -----> 1792
1792 -----> 1731
1731 -----> 1705
1705 -----> 1694
1694 -----> 1888
1888 -----> 1938
1938 -----> 1993
1993 -----> 2196
2196 -----> 2498
2498 -----> 2598
2598 -----> 2547
2547 -----> 2556
2556 -----> 2827
2827 -----> 2806
2806 -----> 2841
2841 -----> 2828
2828 -----> 2842
2842 -----> 2829
2829 -----> 2872
2872 -----> 2863
2863 -----> 2864
2864 -----> 2859
2859 -----> 2843
2843 -----> 2830
2830 -----> 2831
2831 -----> 2519
2519 -----> 2376
2376 -----> 2283
2283 -----> 2135
2135 -----> 2154
2154 -----> 2089
2089 -----> 1987
1987 -----> 1973
1973 -----> 2004
2004 -----> 2009
2009 -----> 2015
2015 -----> 2016
2016 -----> 2046
2046 -----> 2010
2010 -----> 2017
2017 -----> 2022
2022 -----> 2023
2023 -----> 1952
1952 -----> 1953
1953 -----> 1994
1994 -----> 1954
1954 -----> 1974
1974 -----> 2032
2032 -----> 2055
2055 -----> 2065
2065 -----> 2000
2000 -----> 2081
2081 -----> 2171
2171 -----> 2005
2005 -----> 2120
2120 -----> 2125
2125 -----> 2126
2126 -----> 2172
2172 -----> 2144
2144 -----> 2234
2234 -----> 2284
2284 -----> 2306
2306 -----> 2324
2324 -----> 2388
2388 -----> 2520
2520 -----> 2572
2572 -----> 2641
2641 -----> 2746
2746 -----> 2752
2752 -----> 2787
2787 -----> 2660
2660 -----> 2679
2679 -----> 2667
2667 -----> 2687
2687 -----> 2695
2695 -----> 2680
2680 -----> 2661
2661 -----> 2622
2622 -----> 2668
2668 -----> 2613
2613 -----> 2539
2539 -----> 2483
2483 -----> 2446
2446 -----> 2336
2336 -----> 2250
2250 -----> 2174
2174 -----> 2109
2109 -----> 2235
2235 -----> 2236
2236 -----> 2237
2237 -----> 2346
2346 -----> 2426
2426 -----> 2530
2530 -----> 2438
2438 -----> 2347
2347 -----> 2272
2272 -----> 2447
2447 -----> 2513
2513 -----> 2363
2363 -----> 2251
2251 -----> 2199
2199 -----> 2348
2348 -----> 2355
2355 -----> 2456
2456 -----> 2470
2470 -----> 2378
2378 -----> 2364
2364 -----> 2439
2439 -----> 2238
2238 -----> 2200
2200 -----> 2157
2157 -----> 2262
2262 -----> 2455
2455 -----> 2669
2669 -----> 2696
2696 -----> 2705
2705 -----> 2777
2777 -----> 2749
2749 -----> 2807
2807 -----> 2704
2704 -----> 2753
2753 -----> 2812
2812 -----> 2748
2748 -----> 2776
2776 -----> 2747
2747 -----> 2896
2896 -----> 2976
2976 -----> 2975
2975 -----> 3003
3003 -----> 3109
3109 -----> 3137
3137 -----> 3031
3031 -----> 2969
2969 -----> 2924
2924 -----> 2968
2968 -----> 2937
2937 -----> 2883
2883 -----> 2852
2852 -----> 2771
2771 -----> 2786
2786 -----> 2694
2694 -----> 2640
2640 -----> 2659
2659 -----> 2528
2528 -----> 2512
2512 -----> 2501
2501 -----> 2631
2631 -----> 2658
2658 -----> 2567
2567 -----> 2605
2605 -----> 2686
2686 -----> 2717
2717 -----> 2587
2587 -----> 2586
2586 -----> 2604
2604 -----> 2716
2716 -----> 2693
2693 -----> 2630
2630 -----> 2600
2600 -----> 2603
2603 -----> 2612
2612 -----> 2599
2599 -----> 2585
2585 -----> 2557
2557 -----> 2548
2548 -----> 2499
2499 -----> 2715
2715 -----> 2751
2751 -----> 2760
2760 -----> 2745
2745 -----> 2792
2792 -----> 2791
2791 -----> 2621
2621 -----> 2377
2377 -----> 2873
2873 -----> 2726
2726 -----> 3002
3002 -----> 3169
3169 -----> 3212
3212 -----> 3226
3226 -----> 3294
3294 -----> 3376
3376 -----> 3121
3121 -----> 3177
3177 -----> 3194
3194 -----> 3301
3301 -----> 3308
3308 -----> 3699
3699 -----> 3916
3916 -----> 3938
3938 -----> 3700
3700 -----> 3603
3603 -----> 3649
3649 -----> 3727
